id,depth,n_node_samples,impurity,value
426,16,11,0.206611,"[10,1,0,0,0]"
427,17,3,0.555556,"[2,1,0,0,0]"
428,17,8,0,"[8,0,0,0,0]"
429,14,24,0.0998263,"[23,1,0,0,0]"
430,15,12,0,"[12,0,0,0,0]"
431,15,12,0.190972,"[11,1,0,0,0]"
432,16,5,0.4,"[4,1,0,0,0]"
433,16,7,0,"[7,0,0,0,0]"
434,13,133,0.61493,"[91,14,1,5,22]"
435,14,52,0.765532,"[27,5,1,2,17]"
436,15,24,0.811632,"[7,2,1,2,12]"
437,16,2,0.625,"[1,0,1,0,0]"
438,16,22,0.764463,"[6,2,0,2,12]"
439,17,19,0.65097,"[5,0,0,2,12]"
440,18,17,0.570934,"[3,0,0,2,12]"
441,19,13,0.325444,"[0,0,0,2,11]"
442,20,5,0,"[0,0,0,0,5]"
443,20,8,0.46875,"[0,0,0,2,6]"
444,19,4,0.46875,"[3,0,0,0,1]"
445,18,2,0,"[2,0,0,0,0]"
446,17,3,0.555556,"[1,2,0,0,0]"
447,15,28,0.558036,"[20,3,0,0,5]"
448,16,27,0.514403,"[20,2,0,0,5]"
449,17,12,0.763889,"[6,2,0,0,4]"
450,18,7,0.714286,"[4,2,0,0,1]"
451,18,5,0.6,"[2,0,0,0,3]"
452,17,15,0.155555,"[14,0,0,0,1]"
453,18,3,0.555556,"[2,0,0,0,1]"
454,18,12,0,"[12,0,0,0,0]"
455,16,1,0,"[0,1,0,0,0]"
456,14,81,0.447721,"[64,9,0,3,5]"
457,15,80,0.430859,"[64,8,0,3,5]"
458,16,76,0.378289,"[63,5,0,3,5]"
459,17,10,0.825,"[5,1,0,2,2]"
460,17,66,0.277204,"[58,4,0,1,3]"
461,18,9,0.709876,"[5,3,0,0,1]"
462,18,57,0.166974,"[53,1,0,1,2]"
463,19,5,0.8,"[2,0,0,1,2]"
464,19,52,0.0471522,"[51,1,0,0,0]"
465,20,9,0.246914,"[8,1,0,0,0]"
466,20,43,0,"[43,0,0,0,0]"
467,16,4,0.46875,"[1,3,0,0,0]"
468,15,1,0,"[0,1,0,0,0]"
469,12,1,0,"[0,1,0,0,0]"
470,11,1267,0.833633,"[253,74,264,49,627]"
471,12,672,0.759216,"[91,29,135,31,386]"
472,13,487,0.603884,"[55,20,49,22,341]"
473,14,428,0.455662,"[32,20,16,22,338]"
474,15,37,0.889335,"[5,15,0,9,8]"
475,16,17,0.726644,"[2,0,0,9,6]"
476,17,12,0.503472,"[1,0,0,9,2]"
477,18,7,0.714286,"[1,0,0,4,2]"
478,18,5,0,"[0,0,0,5,0]"
479,17,5,0.4,"[1,0,0,0,4]"
480,16,20,0.50625,"[3,15,0,0,2]"
481,17,5,0.8,"[2,2,0,0,1]"
482,17,15,0.3,"[1,13,0,0,1]"
483,18,1,0,"[0,0,0,0,1]"
484,18,14,0.165816,"[1,13,0,0,0]"
485,19,1,0,"[1,0,0,0,0]"
486,19,13,0,"[0,13,0,0,0]"
487,15,391,0.349962,"[27,5,16,13,330]"
488,16,361,0.268299,"[19,3,7,13,319]"
489,17,354,0.243385,"[15,3,7,12,317]"
490,18,315,0.209347,"[6,3,7,12,287]"
491,19,5,0,"[0,0,0,5,0]"
492,19,310,0.176743,"[6,3,7,7,287]"
493,20,288,0.157998,"[5,3,4,7,269]"
494,21,287,0.150481,"[5,3,3,7,269]"
495,22,280,0.129305,"[4,3,2,6,265]"
496,23,4,0.46875,"[0,1,0,0,3]"
497,23,276,0.122611,"[4,2,2,6,262]"
498,24,98,0.0252499,"[0,0,0,1,97]"
499,25,6,0.347222,"[0,0,0,1,5]"
500,25,92,0,"[0,0,0,0,92]"
501,24,178,0.173984,"[4,2,2,5,165]"
502,25,175,0.137224,"[3,2,0,5,165]"
503,26,77,0.239079,"[3,0,0,5,69]"
504,27,7,0.714286,"[2,0,0,1,4]"
505,27,70,0.167857,"[1,0,0,4,65]"
506,28,69,0.136526,"[0,0,0,4,65]"
507,29,66,0.108471,"[0,0,0,3,63]"
508,30,2,0.625,"[0,0,0,1,1]"
509,30,64,0.0756836,"[0,0,0,2,62]"
510,31,63,0.0390525,"[0,0,0,1,62]"
511,32,55,1.49012e-7,"[0,0,0,0,55]"
512,32,8,0.273438,"[0,0,0,1,7]"
513,31,1,0,"[0,0,0,1,0]"
514,29,3,0.555556,"[0,0,0,1,2]"
515,28,1,0,"[1,0,0,0,0]"
516,26,98,0.0499791,"[0,2,0,0,96]"
517,27,12,0.190972,"[0,1,0,0,11]"
518,28,2,0.625,"[0,1,0,0,1]"
519,28,10,0,"[0,0,0,0,10]"
520,27,86,0.0287318,"[0,1,0,0,85]"
521,28,3,0.555556,"[0,1,0,0,2]"
522,28,83,1.49012e-7,"[0,0,0,0,83]"
523,25,3,0.555556,"[1,0,2,0,0]"
524,22,7,0.765306,"[1,0,1,1,4]"
525,21,1,0,"[0,0,1,0,0]"
526,20,22,0.387397,"[1,0,3,0,18]"
527,21,3,0.555556,"[0,0,2,0,1]"
528,21,19,0.242382,"[1,0,1,0,17]"
529,22,16,0.146484,"[0,0,1,0,15]"
530,23,13,0,"[0,0,0,0,13]"
531,23,3,0.555556,"[0,0,1,0,2]"
532,22,3,0.555556,"[1,0,0,0,2]"
533,18,39,0.443787,"[9,0,0,0,30]"
534,19,36,0.347222,"[6,0,0,0,30]"
535,20,32,0.212402,"[3,0,0,0,29]"
536,21,2,0,"[2,0,0,0,0]"
537,21,30,0.0805555,"[1,0,0,0,29]"
538,22,21,0,"[0,0,0,0,21]"
539,22,9,0.246914,"[1,0,0,0,8]"
540,20,4,0.46875,"[3,0,0,0,1]"
541,19,3,0,"[3,0,0,0,0]"
542,17,7,0.714286,"[4,0,0,1,2]"
543,16,30,0.875,"[8,2,9,0,11]"
544,17,20,0.775,"[6,0,4,0,10]"
545,18,14,0.510204,"[4,0,0,0,10]"
546,19,3,0,"[0,0,0,0,3]"
547,19,11,0.578512,"[4,0,0,0,7]"
548,20,5,0.6,"[3,0,0,0,2]"
549,20,6,0.347222,"[1,0,0,0,5]"
550,18,6,0.555556,"[2,0,4,0,0]"
551,17,10,0.825,"[2,2,5,0,1]"
552,14,59,0.665757,"[23,0,33,0,3]"
553,15,4,0,"[4,0,0,0,0]"
554,15,55,0.647107,"[19,0,33,0,3]"
555,16,9,0.555556,"[6,0,3,0,0]"
556,16,46,0.613185,"[13,0,30,0,3]"
557,17,3,0,"[3,0,0,0,0]"
558,17,43,0.567875,"[10,0,30,0,3]"
559,18,19,0.734072,"[8,0,9,0,2]"
560,19,13,0.532544,"[4,0,9,0,0]"
561,20,11,0.371901,"[2,0,9,0,0]"
562,21,2,0,"[2,0,0,0,0]"
563,21,9,0,"[0,0,9,0,0]"
564,20,2,0,"[2,0,0,0,0]"
565,19,6,0.555556,"[4,0,0,0,2]"
566,18,24,0.282118,"[2,0,21,0,1]"
567,19,12,0,"[0,0,12,0,0]"
568,19,12,0.503472,"[2,0,9,0,1]"
569,20,10,0.225,"[1,0,9,0,0]"
570,20,2,0.625,"[1,0,0,0,1]"
571,13,185,0.852666,"[36,9,86,9,45]"
572,14,17,0.648789,"[11,3,3,0,0]"
573,15,4,0.625,"[2,2,0,0,0]"
574,15,13,0.576923,"[9,1,3,0,0]"
575,16,5,0.4,"[4,1,0,0,0]"
576,16,8,0.585938,"[5,0,3,0,0]"
577,14,168,0.82235,"[25,6,83,9,45]"
578,15,91,0.817836,"[13,1,39,4,34]"
579,16,43,0.488102,"[5,0,2,3,33]"
580,17,35,0.259184,"[0,0,1,3,31]"
581,18,16,0.380859,"[0,0,0,3,13]"
582,19,4,0.625,"[0,0,0,2,2]"
583,19,12,0.190972,"[0,0,0,1,11]"
584,20,4,0.46875,"[0,0,0,1,3]"
585,20,8,0,"[0,0,0,0,8]"
586,18,19,0.124654,"[0,0,1,0,18]"
587,19,13,0,"[0,0,0,0,13]"
588,19,6,0.347222,"[0,0,1,0,5]"
589,17,8,0.664062,"[5,0,1,0,2]"
590,16,48,0.47092,"[8,1,37,1,1]"
591,17,44,0.353822,"[4,1,37,1,1]"
592,18,19,0,"[0,0,19,0,0]"
593,18,25,0.564,"[4,1,18,1,1]"
594,19,7,0.867347,"[3,0,2,1,1]"
595,19,18,0.25463,"[1,1,16,0,0]"
596,20,17,0.138408,"[1,0,16,0,0]"
597,21,2,0.625,"[1,0,1,0,0]"
598,21,15,0,"[0,0,15,0,0]"
599,20,1,0,"[0,1,0,0,0]"
600,17,4,0,"[4,0,0,0,0]"
601,15,77,0.775426,"[12,5,44,5,11]"
602,16,3,0.555556,"[0,1,0,0,2]"
603,16,74,0.747352,"[12,4,44,5,9]"
604,17,72,0.729649,"[10,4,44,5,9]"
605,18,5,0,"[0,0,0,5,0]"
606,18,67,0.656048,"[10,4,44,0,9]"
607,19,65,0.626627,"[9,3,44,0,9]"
608,20,1,0,"[1,0,0,0,0]"
609,20,64,0.612183,"[8,3,44,0,9]"
610,21,57,0.478609,"[4,2,44,0,7]"
611,22,13,0.902367,"[3,2,3,0,5]"
612,23,3,0.555556,"[0,0,2,0,1]"
613,23,10,0.875,"[3,2,1,0,4]"
614,22,44,0.161415,"[1,0,41,0,2]"
615,23,41,0.116002,"[0,0,39,0,2]"
616,24,1,0,"[0,0,0,0,1]"
